name,description,price
Classic Novel Set,A collection of timeless novels for book lovers,800
Wireless Headphones,Noise-cancelling over-ear headphones,1500
Personalized Mug,Custom printed mug with name or photo,600
Yoga Mat,High-quality non-slip yoga mat,900
Bluetooth Speaker,Portable speaker with powerful sound,1200
Sketchbook,Hardcover sketchbook for artists,550
Flower Bouquet,Fresh flowers beautifully arranged,700
Photo Frame,Decorative wooden photo frame,500
Cookbook,Recipe book for beginners and food lovers,650
Board Game,Fun board game for groups and families,1000
Leather Wallet,Premium leather wallet for daily use,950
Laptop Sleeve,Protective sleeve for laptops up to 15 inch,850
Perfume,Refreshing fragrance suitable for all,1400
Handmade Journal,Beautiful handmade paper journal,750
Tea Gift Set,Assorted herbal tea collection,950
Makeup Kit,Compact kit with essentials,1300
Sports Watch,Digital watch with fitness tracking,1800
Backpack,Durable and stylish backpack,1600
Painting Kit,Acrylic paints with brushes and canvas,1000
Puzzle Set,Challenging puzzles for brain training,650
